%gen_inp
%ename cangjie
%cname 倉頡輸入法
%selkey 1234567890
%keyname begin
a 日
b 月
c 金
d 木
e 水
f 火
g 土
h 竹
i 戈
j 十
k 大
l 中
m 一
n 弓
o 人
p 心
q 手
r 口
s 尸
t 廿
u 山
v 女
w 田
x 難
y 卜
z 重
[ 「
] 」
; ；
' 、
\ ＼
, ，
. 。
! ！
: ：
/ ？
%keyname end
%chardef begin
, ，
! ！
: ：
. 。
/ ？
// ／
.. ．
... …
' 、
; ；
\ ＼
[ 「
[ 『
[ （
[ 〈
[ 《
] 」
] 』
] ）
] 〉
] 》
hapi 的
mf 不
m 一
hqi 我
amyo 是
o 人
kb 有
nn 了
k 大
wirm 國
doo 來
hqm 生
klg 在
nd 子
oan 們
l 中
ym 上
opd 他
agdi 時
nc 小
gpd 地
uu 出
vio 以
hbnd 學
mnr 可
hbu 自
yymr 這
omwa 會
ihs 成
jmso 家
mgln 到
iknf 為
mk 天
p 心
oq 年
bkf 然
mwv 要
hoami 得
yrcru 說
ybbr 過
owjr 個
tjka 著
ibpp 能
my 下
hgks 動
nonhe 發
grbg 臺
idvi 麼
jwj 車
sqnl 那
hommn 行
vfmvm 經
gi 去
vnd 好
anmt 開
mgbuu 現
yfiku 就
ohs 作
hovie 後
nini 多
yhs 方
vr 如
jlln 事
ci 公
hqbu 看
pd 也
smv 長
mwyl 面
ks 力
goru 起
lwg 裡
yrbr 高
bq 用
tctd 業
onf 你
wk 因
mbll 而
csh 分
ylb 市
ysoy 於
ythu 道
niy 外
ene 沒
otf 無
bmr 同
egi 法
tbln 前
e 水
mbwu 電
rvp 民
tgdi 對
hxhu 兒
a 日
ino 之
yk 文
fbrw 當
jdok 教
ydhml 新
ytap 意
pqmb 情
hshml 所
jwjc 實
mlm 工
omg 全
jmyo 定
tgk 美
mgwg 理
mtmbc 頭
dm 本
ab 明
onfd 氣
yog 進
dtge 樣
janl 都
yg 主
ana 間
jkp 老
dup 想
hjwg 重
bbtwt 體
u 山
hqphh 物
okr 知
q 手
dbu 相
wr 回
phqm 性
wd 果
mmok 政
rc 只
ymp 此
oip 代
hdr 和
ehjr 活
vsqf 媽
ydbuu 親
op 化
ksr 加
afhhh 影
oj 什
hxh 身
su 己
evfn 灣
dvii 機
yrnl 部
fbrlb 常
buhu 見
tmmc 其
mylm 正
pt 世
lmp 北
v 女
top 花
omr 合
gamh 場
eowy 海
jka 者
qmv 表
anr 問
yt 立
mcw 西
ywlv 還
asje 最
irp 感
hgr 告
ite 度
fmu 光
wfyr 點
nau 色
hdhjg 種
fh 少
hnhli 風
iobuc 資
vpd 她
tcb 期
hdln 利
ord 保
ke 友
vid 樂
anvit 關
rrr 品
lga 書
c 金
hrmlb 師
yhhqm 產
oam 但
tgbuu 觀
mfj 平
ki 太
nir 名
jcm 空
vfok 變
jv 安
gesj 聲
rmher 路
hoooo 從
ckau 爸
r 口
hoav 很
jbmc 真
yroj 許
ypmm 些
nk 又
wyi 母
an 門
ndyvo 孩
stv 展
onao 像
bu 目
oymr 信
oin 今
igp 應
hqgdi 特
j 十
dw 東
oh 入
yrhjr 話
mhaf 原
ob 內
qau 把
kmob 病
ha 白
ahqm 星
rbuc 員
qamo 提
vfhwp 總
bbpe 愛
lgwm 畫
gyo 走
llml 片
buav 眼
pp 比
vfyiu 統
lw 由
woll 界
bbe 受
ojlk 使
bb 朋
ynib 通
mgije 球
rsln 別
su 已
hbbuu 覺
itmc 廣
yrj 計
vfgr 結
qytv 接
yruc 選
qmn 打
hghu 先
dh 才
yrsip 認
olnk 候
ybhg 望
iflwl 神
omnr 何
yphen 處
ysok 放
ojrk 做
aombc 題
hbr 向
oyt 位
vlok 收
ybjj 運
mmm 三
nklq 建
lvok 數
nbshq 解
eyiu 流
mthhh 形
amwg 量
mgb 再
mlbo 兩
eqmb 清
sqsf 馬
ytwg 童
ipm 式
jbmm 直
ojii 傳
toog 難
hjrr 管
nljmu 院
pdk 快
yhgr 造
yrsu 記
ph 必
ifbuu 視
yrhne 設
imno 次
nl 引
yta 音
gjsle 報
etlb 滿
hoicn 術
omrl 命
ifg 社
b 月
ejmc 演
yck 交
smr 司
oyg 住
yib 育
sgjwp 聽
ycbr 商
he 反
vihi 幾
yhus 邊
ck 父
mig 至
hcq 舉
semcw 醫
hvif 系
eir 治
vfomr 給
ohg 任
jjjii 轉
yudi 導
yjksj 辦
grtr 喜
wgrv 園
g 土
ygrv 遠
omwc 價
hdyj 科
hsp 怎
wc 四
lmyyy 非
srrr 區
tgno 歡
jmmu 完
hoyg 往
mm 二
jbtj 南
jcor 容
bsle 服
yhml 近
yrbgr 調
jnd 字
qpa 指
napo 象
